"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Topic","15.24","10.06","10.69","19.97","3.72","9.99","7.05","6.1","5.61","11.59"
"1","riding","obama","economy","ds","thai","countries","campaign","gt","mr","minister"
"2","party","us","billion","think","rowspanquotquot","us","party","lt","australian","prime"
"3","issues","president","economic","’s","px","trade","candidate","democrat","said","party"
"4","ontario","iraq","financial","like","court","nuclear","election","republican","australia","politics"
"5","province","bush","loss","know","students","global","candidates","em","zealand","leader"
"6","can","said","rate","people","thaksin","climate","liberal","libertarian","howard","political"
"7","campaign","mccain","percent","really","pap","international","presidential","aaa","government","government"
"8","health","states","budget","just","dennys","india","issues","cellspacingquotquot","minister","said"
"9","beneficial","american","us","get","eff","economic","riding","bordercollapse","prime","former"
"10","political","congress","million","lot","obrien","will","poll","cellpaddingquotquot","labor","text"
"11","running","senator","growth","dont","free","china","canadians","fff","costello","president"
"12","tax","united","increase","don’t","danny","change","canada","stylequotmargin","new","told"
"13","taxes","war","unemployment","thats","law","world","running","borderquotquot","leadership","xmlspacepreserve"
"14","important","iran","bank","say","rak","year","federal","collapsequot","israel","parliament"
"15","government","americans","reserve","can","grand","nations","voters","px","dr","northern"
"16","experience","troops","year","going","taiwan","energy","polls","solid","rudd","bytes"
"17","green","america","jobs","go","wikinews","million","country","border","party","british"
"18","education","bill","markets","things","million","economy","political","background","will","ireland"
"19","property","senate","index","jr","copyright","emissions","ndp","states","liberal","cabinet"
"20","provincial","administration","recession","one","hydrogen","development","day","j","national","police"
"21","family","speech","crisis","right","quotcenterquot","gas","message","green","lebanon","news"
"22","will","george","said","im","school","proposal","get","john","leader","announced"
"23","every","afghanistan","announced","want","align","developing","canadian","united","minimum","first"
"24","interviews","tax","sampp","now","case","eu","third","independent","israeli","reported"
"25","care","security","market","thing","percent","greenhouse","harper","e","australias","speech"
"26","mmp","debate","quarter","much","ali","agreement","will","writein","senate","quoti"
"27","whole","military","united","see","test","action","environment","r","hezbollah","country"
"28","candidate","house","stock","got","khamenei","oil","democratic","l","senator","according"
"29","legislative","saying","credit","rights","grc","already","platform","representative","wn","held"
"30","assembly","state","bytes","yeah","hirsi","industry","conservative","m","wage","premier"
"31","system","government","points","’m","software","saudi","wikinews","senator","john","elections"
"32","challenge","asked","text","black","strike","visit","ever","michael","year","quotthe"
"33","libertarian","barack","sales","something","votes","poverty","average","james","next","blair"
"34","services","support","federal","theres","seats","project","dion","jim","governments","resignation"
"35","three","quoti","inflation","every","content","states","many","san","statistics","general"
"36","voters","just","dollar","life","slam","fuel","palin","d","think","stated"
"37","parties","can","states","look","walkover","decision","effective","w","opposition","deputy"
"38","values","attack","prices","never","wp","reduction","mccain","david","quoti","today"
"39","coalition","republican","will","way","ad","talks","experience","jr","beazley","foreign"
"40","etc","w","ftse","always","television","union","obama","robert","tax","democratic"
"41","level","republicans","gdp","war","promotion","review","run","colspanquotquot","statistical","fukuda"
"42","jobs","lehrer","last","feel","fair","chinese","community","candidate","quotthe","died"
"43","business","spending","data","ns","drivers","recent","lead","mike","treasurer","saying"
"44","job","believe","company","question","stevens","technology","media","st","greens","civil"
"45","members","washington","business","religion","cell","aid","nomination","c","bp","press"
"46","th","says","rates","everything","video","foreign","politics","city","changes","years"
"47","address","legislation","xmlspacepreserve","’ve","drm","need","address","independence","andren","members"
"48","run","country","quotthe","“","google","warming","much","h","election","paisley"
"49","well","defense","since","sb","restaurant","currency","barack","families","make","reports"
"50","representation","presidential","month","come","center","population","leader","richard","federal","rally"
